State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Sex Ratio,Literacy Rate,Male Literacy Rate,Female Literacy Rate
Assam,Tinsukia,27.53549291139241,95.69055949367085,1327929,680231,647698,798322,453449,344873,37688,82066,1181347,48373,76877,1999,16228,837,395,1873,290704,90910,266717,276292,109805,61040,38152,799874,352158,175377,520,9188,20339,29527,36547,147468,57086,105,60,67,53
Bihar,Araria,26.211528119180603,87.30766554934816,2811569,1463333,1348236,1195768,727643,468125,382654,38848,1593525,1207442,4116,371,187,1910,63,3955,659061,44213,426625,206161,112955,68177,39627,1872943,612012,324091,2523,12500,67876,80376,73656,277849,97412,109,43,50,35
Bihar,Aurangabad,24.774291867469877,84.45986024096379,2540073,1318684,1221389,1466002,868733,597269,612064,1033,2291133,237353,2218,295,334,775,19,7946,428291,49006,482199,302662,253142,136783,91371,1626969,564571,340948,7585,6645,23974,30619,27722,137515,47730,108,58,66,49
Bihar,Aurangabad,24.774291867469877,84.45986024096379,3701282,1924469,1776813,2503837,1430936,1072901,539368,143366,2545438,786677,15991,5142,309093,30981,1005,6955,551789,427343,686271,422964,537936,310762,253253,2211996,909771,571932,7583,22399,63485,85884,88118,415993,174101,108,68,74,60
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,2540073,1318684,1221389,1466002,868733,597269,612064,1033,2291133,237353,2218,295,334,775,19,7946,428291,49006,482199,302662,253142,136783,91371,1626969,564571,340948,7585,6645,23974,30619,27722,137515,47730,108,58,66,49
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,3701282,1924469,1776813,2503837,1430936,1072901,539368,143366,2545438,786677,15991,5142,309093,30981,1005,6955,551789,427343,686271,422964,537936,310762,253253,2211996,909771,571932,7583,22399,63485,85884,88118,415993,174101,108,68,74,60
Bihar,Banka,24.832355642023337,86.8664916342413,2034763,1067140,967623,965321,590961,374360,247858,90432,1772655,250925,6138,139,113,94,1035,3664,425604,18492,386707,196305,120653,63103,35767,1291235,462080,278863,2585,6776,32221,38997,41314,181580,65753,110,47,55,39
Bihar,Begusarai,25.54302613168723,86.12560144032932,2970541,1567660,1402881,1548673,918507,630166,432270,1597,2554330,407348,2209,402,229,276,57,5690,594377,139248,484502,291877,207136,144783,101836,1951688,644874,369996,3983,13797,71413,85210,73578,286725,101080,112,52,59,45
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,3037766,1615663,1422103,1573066,937669,635397,318569,67180,2487866,537098,3556,415,180,1050,32,7569,522527,130634,524322,300767,247079,154643,118843,1952879,674660,397654,12573,9815,49203,59018,63325,264904,96431,114,52,58,45
Bihar,Bhojpur,25.50666439393939,84.49407803030304,2728407,1430380,1298027,1599151,973486,625665,425402,13977,2518216,197819,2165,544,647,1472,48,7496,434559,77368,605307,367059,313509,163303,131137,1722387,613072,387389,5559,8370,25259,33629,29472,142899,49809,110,59,68,48
